claim id,evidence id,count,majority,label
29836.176,29836.176-6,2,,"[3, 0]"
29836.176,29836.176-7,2,,"[3, 0]"
8764.101,8764.101-4,2,,"[3, 0]"
8516.559,8516.559-8,2,,"[3, 0]"
30446.228,30446.228-0,2,,"[3, 0]"
30446.228,30446.228-5,2,,"[3, 0]"
28455.245,28455.245-3,2,,"[3, 0]"
7739.31,7739.310-0,2,,"[3, 0]"
7185.38,7185.38-2,2,,"[3, 0]"
1414.819,1414.819-10,2,,"[3, 0]"
18869.157,18869.157-4,2,,"[0, 3]"
28219.311,28219.311-6,2,,"[0, 3]"
11720.498,11720.498-3,2,,"[3, 0]"
3371.63,3371.63-4,2,,"[0, 3]"
10054.157,10054.157-2,2,,"[3, 0]"
14974.195,14974.195-7,2,,"[3, 0]"
28404.139,28404.139-7,2,,"[3, 0]"
28404.139,28404.139-9,2,,"[3, 0]"
11297.13,11297.13-5,2,,"[0, 3]"
25856.9,25856.9-8,2,,"[0, 3]"
29943.91,29943.91-4,2,,"[0, 3]"
10057.27,10057.27-6,2,,"[3, 0]"
24431.384,24431.384-3,2,,"[3, 0]"
24431.384,24431.384-4,2,,"[3, 0]"
10223.475,10223.475-4,2,,"[3, 0]"
30247.49,30247.49-0,2,,"[3, 0]"
1324.1543,1324.1543-2,2,,"[3, 0]"
29870.353,29870.353-2,2,,"[3, 0]"
7865.625,7865.625-1,2,,"[0, 3]"
6844.454,6844.454-1,2,,"[0, 3]"
12945.294,12945.294-4,2,,"[3, 0]"
5428.39,5428.39-3,2,,"[0, 3]"
7405.22,7405.22-3,2,,"[0, 3]"
2322.38,2322.38-3,2,,"[0, 3]"
1203.957,1203.957-3,2,,"[0, 3]"
2762.1158,2762.1158-5,2,,"[0, 3]"
28084.71,28084.71-5,2,,"[3, 0]"
2813.317,2813.317-6,2,,"[0, 3]"
28772.3,28772.3-5,2,,"[0, 3]"
29365.427,29365.427-3,2,,"[0, 3]"
9878.246,9878.246-7,2,,"[3, 0]"
16173.356,16173.356-0,2,,"[3, 0]"
2179.33,2179.33-5,2,,"[0, 3]"
2415.1964,2415.1964-2,2,,"[0, 3]"
